,split,lr,weight-decay,hidden_dim,accuracy
0,1,0.01,0.0001,256,0.558
1,2,0.01,0.0001,256,0.518
2,3,0.01,0.0001,256,0.578
3,4,0.01,0.0001,256,0.448
4,5,0.01,0.0001,256,0.568
5,6,0.01,0.0001,256,0.472
6,7,0.01,0.0001,256,0.56
7,8,0.01,0.0001,256,0.508
8,9,0.01,0.0001,256,0.58
9,10,0.01,0.0001,256,0.546
10,1,0.01,0.0001,128,0.542
11,2,0.01,0.0001,128,0.5
12,3,0.01,0.0001,128,0.578
13,4,0.01,0.0001,128,0.424
14,5,0.01,0.0001,128,0.572
15,6,0.01,0.0001,128,0.462
16,7,0.01,0.0001,128,0.56
17,8,0.01,0.0001,128,0.5
18,9,0.01,0.0001,128,0.576
19,10,0.01,0.0001,128,0.55
20,1,0.01,0.0005,256,0.546
21,2,0.01,0.0005,256,0.534
22,3,0.01,0.0005,256,0.574
23,4,0.01,0.0005,256,0.472
24,5,0.01,0.0005,256,0.548
25,6,0.01,0.0005,256,0.432
26,7,0.01,0.0005,256,0.566
27,8,0.01,0.0005,256,0.528
28,9,0.01,0.0005,256,0.594
29,10,0.01,0.0005,256,0.558
30,1,0.01,0.0005,128,0.554
31,2,0.01,0.0005,128,0.528
32,3,0.01,0.0005,128,0.576
33,4,0.01,0.0005,128,0.466
34,5,0.01,0.0005,128,0.57
35,6,0.01,0.0005,128,0.494
36,7,0.01,0.0005,128,0.574
37,8,0.01,0.0005,128,0.548
38,9,0.01,0.0005,128,0.588
39,10,0.01,0.0005,128,0.544
40,1,0.001,0.0001,256,0.538
41,2,0.001,0.0001,256,0.45
42,3,0.001,0.0001,256,0.544
43,4,0.001,0.0001,256,0.39
44,5,0.001,0.0001,256,0.558
45,6,0.001,0.0001,256,0.402
46,7,0.001,0.0001,256,0.534
47,8,0.001,0.0001,256,0.442
48,9,0.001,0.0001,256,0.566
49,10,0.001,0.0001,256,0.528
50,1,0.001,0.0001,128,0.534
51,2,0.001,0.0001,128,0.448
52,3,0.001,0.0001,128,0.546
53,4,0.001,0.0001,128,0.39
54,5,0.001,0.0001,128,0.552
55,6,0.001,0.0001,128,0.4
56,7,0.001,0.0001,128,0.528
57,8,0.001,0.0001,128,0.436
58,9,0.001,0.0001,128,0.536
59,10,0.001,0.0001,128,0.524
60,1,0.001,0.0005,256,0.544
61,2,0.001,0.0005,256,0.516
62,3,0.001,0.0005,256,0.566
63,4,0.001,0.0005,256,0.418
64,5,0.001,0.0005,256,0.562
65,6,0.001,0.0005,256,0.45
66,7,0.001,0.0005,256,0.56
67,8,0.001,0.0005,256,0.498
68,9,0.001,0.0005,256,0.576
69,10,0.001,0.0005,256,0.55
70,1,0.001,0.0005,128,0.534
71,2,0.001,0.0005,128,0.484
72,3,0.001,0.0005,128,0.578
73,4,0.001,0.0005,128,0.404
74,5,0.001,0.0005,128,0.562
75,6,0.001,0.0005,128,0.438
76,7,0.001,0.0005,128,0.544
77,8,0.001,0.0005,128,0.478
78,9,0.001,0.0005,128,0.568
79,10,0.001,0.0005,128,0.544
