,split,lr,weight-decay,hidden_dim,accuracy
0,1,0.01,0.0001,256,0.422
1,2,0.01,0.0001,256,0.538
2,3,0.01,0.0001,256,0.59
3,4,0.01,0.0001,256,0.63
4,5,0.01,0.0001,256,0.584
5,6,0.01,0.0001,256,0.366
6,7,0.01,0.0001,256,0.6
7,8,0.01,0.0001,256,0.608
8,9,0.01,0.0001,256,0.462
9,10,0.01,0.0001,256,0.552
10,1,0.01,0.0001,128,0.57
11,2,0.01,0.0001,128,0.582
12,3,0.01,0.0001,128,0.586
13,4,0.01,0.0001,128,0.626
14,5,0.01,0.0001,128,0.57
15,6,0.01,0.0001,128,0.616
16,7,0.01,0.0001,128,0.588
17,8,0.01,0.0001,128,0.592
18,9,0.01,0.0001,128,0.576
19,10,0.01,0.0001,128,0.548
20,1,0.01,0.0005,256,0.574
21,2,0.01,0.0005,256,0.566
22,3,0.01,0.0005,256,0.574
23,4,0.01,0.0005,256,0.62
24,5,0.01,0.0005,256,0.576
25,6,0.01,0.0005,256,0.626
26,7,0.01,0.0005,256,0.618
27,8,0.01,0.0005,256,0.612
28,9,0.01,0.0005,256,0.54
29,10,0.01,0.0005,256,0.574
30,1,0.01,0.0005,128,0.578
31,2,0.01,0.0005,128,0.582
32,3,0.01,0.0005,128,0.586
33,4,0.01,0.0005,128,0.61
34,5,0.01,0.0005,128,0.584
35,6,0.01,0.0005,128,0.604
36,7,0.01,0.0005,128,0.554
37,8,0.01,0.0005,128,0.608
38,9,0.01,0.0005,128,0.584
39,10,0.01,0.0005,128,0.55
40,1,0.001,0.0001,256,0.55
41,2,0.001,0.0001,256,0.566
42,3,0.001,0.0001,256,0.58
43,4,0.001,0.0001,256,0.63
44,5,0.001,0.0001,256,0.57
45,6,0.001,0.0001,256,0.616
46,7,0.001,0.0001,256,0.604
47,8,0.001,0.0001,256,0.59
48,9,0.001,0.0001,256,0.554
49,10,0.001,0.0001,256,0.55
50,1,0.001,0.0001,128,0.534
51,2,0.001,0.0001,128,0.542
52,3,0.001,0.0001,128,0.58
53,4,0.001,0.0001,128,0.6
54,5,0.001,0.0001,128,0.564
55,6,0.001,0.0001,128,0.608
56,7,0.001,0.0001,128,0.6
57,8,0.001,0.0001,128,0.574
58,9,0.001,0.0001,128,0.532
59,10,0.001,0.0001,128,0.55
60,1,0.001,0.0005,256,0.57
61,2,0.001,0.0005,256,0.59
62,3,0.001,0.0005,256,0.58
63,4,0.001,0.0005,256,0.592
64,5,0.001,0.0005,256,0.578
65,6,0.001,0.0005,256,0.622
66,7,0.001,0.0005,256,0.604
67,8,0.001,0.0005,256,0.606
68,9,0.001,0.0005,256,0.582
69,10,0.001,0.0005,256,0.564
70,1,0.001,0.0005,128,0.572
71,2,0.001,0.0005,128,0.578
72,3,0.001,0.0005,128,0.58
73,4,0.001,0.0005,128,0.618
74,5,0.001,0.0005,128,0.584
75,6,0.001,0.0005,128,0.624
76,7,0.001,0.0005,128,0.604
77,8,0.001,0.0005,128,0.602
78,9,0.001,0.0005,128,0.586
79,10,0.001,0.0005,128,0.548
