,split,lr,weight-decay,hidden_dim,accuracy
0,1,0.01,0.0001,256,0.606
1,2,0.01,0.0001,256,0.696
2,3,0.01,0.0001,256,0.718
3,4,0.01,0.0001,256,0.648
4,5,0.01,0.0001,256,0.586
5,6,0.01,0.0001,256,0.674
6,7,0.01,0.0001,256,0.662
7,8,0.01,0.0001,256,0.568
8,9,0.01,0.0001,256,0.678
9,10,0.01,0.0001,256,0.702
10,1,0.01,0.0001,128,0.694
11,2,0.01,0.0001,128,0.732
12,3,0.01,0.0001,128,0.69
13,4,0.01,0.0001,128,0.632
14,5,0.01,0.0001,128,0.66
15,6,0.01,0.0001,128,0.65
16,7,0.01,0.0001,128,0.642
17,8,0.01,0.0001,128,0.662
18,9,0.01,0.0001,128,0.688
19,10,0.01,0.0001,128,0.706
20,1,0.01,0.0005,256,0.69
21,2,0.01,0.0005,256,0.728
22,3,0.01,0.0005,256,0.706
23,4,0.01,0.0005,256,0.66
24,5,0.01,0.0005,256,0.666
25,6,0.01,0.0005,256,0.636
26,7,0.01,0.0005,256,0.392
27,8,0.01,0.0005,256,0.674
28,9,0.01,0.0005,256,0.694
29,10,0.01,0.0005,256,0.724
30,1,0.01,0.0005,128,0.67
31,2,0.01,0.0005,128,0.684
32,3,0.01,0.0005,128,0.7
33,4,0.01,0.0005,128,0.658
34,5,0.01,0.0005,128,0.674
35,6,0.01,0.0005,128,0.638
36,7,0.01,0.0005,128,0.658
37,8,0.01,0.0005,128,0.672
38,9,0.01,0.0005,128,0.704
39,10,0.01,0.0005,128,0.718
40,1,0.001,0.0001,256,0.69
41,2,0.001,0.0001,256,0.71
42,3,0.001,0.0001,256,0.7
43,4,0.001,0.0001,256,0.65
44,5,0.001,0.0001,256,0.664
45,6,0.001,0.0001,256,0.624
46,7,0.001,0.0001,256,0.654
47,8,0.001,0.0001,256,0.67
48,9,0.001,0.0001,256,0.69
49,10,0.001,0.0001,256,0.714
50,1,0.001,0.0001,128,0.686
51,2,0.001,0.0001,128,0.702
52,3,0.001,0.0001,128,0.702
53,4,0.001,0.0001,128,0.648
54,5,0.001,0.0001,128,0.67
55,6,0.001,0.0001,128,0.614
56,7,0.001,0.0001,128,0.656
57,8,0.001,0.0001,128,0.662
58,9,0.001,0.0001,128,0.694
59,10,0.001,0.0001,128,0.724
60,1,0.001,0.0005,256,0.692
61,2,0.001,0.0005,256,0.736
62,3,0.001,0.0005,256,0.69
63,4,0.001,0.0005,256,0.664
64,5,0.001,0.0005,256,0.688
65,6,0.001,0.0005,256,0.578
66,7,0.001,0.0005,256,0.652
67,8,0.001,0.0005,256,0.648
68,9,0.001,0.0005,256,0.672
69,10,0.001,0.0005,256,0.732
70,1,0.001,0.0005,128,0.69
71,2,0.001,0.0005,128,0.722
72,3,0.001,0.0005,128,0.7
73,4,0.001,0.0005,128,0.662
74,5,0.001,0.0005,128,0.67
75,6,0.001,0.0005,128,0.638
76,7,0.001,0.0005,128,0.67
77,8,0.001,0.0005,128,0.672
78,9,0.001,0.0005,128,0.692
79,10,0.001,0.0005,128,0.72
