,split,sup_loss_weight,alpha,u,accuracy
0,1,0.1,0.2,0.2,0.42609831781806307
1,2,0.1,0.2,0.2,0.4461865098807774
2,3,0.1,0.2,0.2,0.5002449779519843
3,4,0.1,0.2,0.2,0.4953454189122979
4,5,0.1,0.2,0.2,0.4416135881104034
5,6,0.1,0.2,0.2,0.4883227176220807
6,7,0.1,0.2,0.2,0.49926506614404703
7,8,0.1,0.2,0.2,0.44651314715008983
8,9,0.1,0.2,0.2,0.4928956393924547
9,10,0.1,0.2,0.2,0.4956720561816103
10,1,0.1,0.2,0.5,0.4964886493548914
11,2,0.1,0.2,0.5,0.4808100604278948
12,3,0.1,0.2,0.5,0.4256083619140944
13,4,0.1,0.2,0.5,0.5033480320104524
14,5,0.1,0.2,0.5,0.49632533072023516
15,6,0.1,0.2,0.5,0.4981218357014535
16,7,0.1,0.2,0.5,0.5041646251837335
17,8,0.1,0.2,0.5,0.4935489139310795
18,9,0.1,0.2,0.5,0.36779356524579454
19,10,0.1,0.2,0.5,0.4930589580271109
20,1,0.1,0.2,0.8,0.3679568838804508
21,2,0.1,0.2,0.8,0.467254613751429
22,3,0.1,0.2,0.8,0.4545157602482443
23,4,0.1,0.2,0.8,0.4623550547117426
24,5,0.1,0.2,0.8,0.44651314715008983
25,6,0.1,0.2,0.8,0.42413849420218847
26,7,0.1,0.2,0.8,0.4576188143067124
27,8,0.1,0.2,0.8,0.461865098807774
28,9,0.1,0.2,0.8,0.45827208884533727
29,10,0.1,0.2,0.8,0.4621917360770864
30,1,0.1,0.5,0.2,0.38967826228972724
31,2,0.1,0.5,0.2,0.3785725951331047
32,3,0.1,0.5,0.2,0.3798791442103544
33,4,0.1,0.5,0.2,0.37465294790135556
34,5,0.1,0.5,0.2,0.3806957373836355
35,6,0.1,0.5,0.2,0.37350971745876205
36,7,0.1,0.5,0.2,0.38755512003919645
37,8,0.1,0.5,0.2,0.4145026947574718
38,9,0.1,0.5,0.2,0.3996406990037563
39,10,0.1,0.5,0.2,0.3762861342479177
40,1,0.1,0.5,0.5,0.3898415809243835
41,2,0.1,0.5,0.5,0.36779356524579454
42,3,0.1,0.5,0.5,0.3893516250204148
43,4,0.1,0.5,0.5,0.3810223746529479
44,5,0.1,0.5,0.5,0.45549567205618163
45,6,0.1,0.5,0.5,0.450432794381839
46,7,0.1,0.5,0.5,0.3815123305569165
47,8,0.1,0.5,0.5,0.43785725951331045
48,9,0.1,0.5,0.5,0.4337742936469051
49,10,0.1,0.5,0.5,0.44194022537971583
50,1,0.1,0.5,0.8,0.41842234198922096
51,2,0.1,0.5,0.8,0.4259349991834068
52,3,0.1,0.5,0.8,0.4084599052751919
53,4,0.1,0.5,0.8,0.37465294790135556
54,5,0.1,0.5,0.8,0.41727911154662745
55,6,0.1,0.5,0.8,0.3811856932876041
56,7,0.1,0.5,0.8,0.4394904458598726
57,8,0.1,0.5,0.8,0.3880450759431651
58,9,0.1,0.5,0.8,0.40650008165931734
59,10,0.1,0.5,0.8,0.4087865425445043
60,1,0.1,0.7,0.2,0.36779356524579454
61,2,0.1,0.7,0.2,0.35538134901192225
62,3,0.1,0.7,0.2,0.37595949697860526
