,split,sup_loss_weight,alpha,u,accuracy
0,1,0.1,0.2,0.2,0.608
1,2,0.1,0.2,0.2,0.628
2,3,0.1,0.2,0.2,0.662
3,4,0.1,0.2,0.2,0.624
4,5,0.1,0.2,0.2,0.596
5,6,0.1,0.2,0.2,0.642
6,7,0.1,0.2,0.2,0.642
7,8,0.1,0.2,0.2,0.61
8,9,0.1,0.2,0.2,0.642
9,10,0.1,0.2,0.2,0.586
10,1,0.1,0.2,0.5,0.61
11,2,0.1,0.2,0.5,0.656
12,3,0.1,0.2,0.5,0.634
13,4,0.1,0.2,0.5,0.648
14,5,0.1,0.2,0.5,0.644
15,6,0.1,0.2,0.5,0.606
16,7,0.1,0.2,0.5,0.662
17,8,0.1,0.2,0.5,0.66
18,9,0.1,0.2,0.5,0.64
19,10,0.1,0.2,0.5,0.592
20,1,0.1,0.2,0.8,0.568
21,2,0.1,0.2,0.8,0.644
22,3,0.1,0.2,0.8,0.646
23,4,0.1,0.2,0.8,0.63
24,5,0.1,0.2,0.8,0.58
25,6,0.1,0.2,0.8,0.602
26,7,0.1,0.2,0.8,0.6
27,8,0.1,0.2,0.8,0.622
28,9,0.1,0.2,0.8,0.556
29,10,0.1,0.2,0.8,0.586
30,1,0.1,0.5,0.2,0.652
31,2,0.1,0.5,0.2,0.658
32,3,0.1,0.5,0.2,0.608
33,4,0.1,0.5,0.2,0.616
34,5,0.1,0.5,0.2,0.598
35,6,0.1,0.5,0.2,0.61
36,7,0.1,0.5,0.2,0.642
37,8,0.1,0.5,0.2,0.654
38,9,0.1,0.5,0.2,0.622
39,10,0.1,0.5,0.2,0.608
40,1,0.1,0.5,0.5,0.622
41,2,0.1,0.5,0.5,0.676
42,3,0.1,0.5,0.5,0.588
43,4,0.1,0.5,0.5,0.624
44,5,0.1,0.5,0.5,0.634
45,6,0.1,0.5,0.5,0.642
46,7,0.1,0.5,0.5,0.65
47,8,0.1,0.5,0.5,0.622
48,9,0.1,0.5,0.5,0.662
