,split,sup_loss_weight,alpha,u,accuracy
0,1,0.1,0.2,0.2,0.774
1,2,0.1,0.2,0.2,0.774
2,3,0.1,0.2,0.2,0.822
3,4,0.1,0.2,0.2,0.786
4,5,0.1,0.2,0.2,0.778
5,6,0.1,0.2,0.2,0.754
6,7,0.1,0.2,0.2,0.778
7,8,0.1,0.2,0.2,0.79
8,9,0.1,0.2,0.2,0.82
9,10,0.1,0.2,0.2,0.78
10,1,0.1,0.2,0.5,0.764
11,2,0.1,0.2,0.5,0.78
12,3,0.1,0.2,0.5,0.728
13,4,0.1,0.2,0.5,0.818
14,5,0.1,0.2,0.5,0.76
15,6,0.1,0.2,0.5,0.784
16,7,0.1,0.2,0.5,0.744
17,8,0.1,0.2,0.5,0.766
18,9,0.1,0.2,0.5,0.826
19,10,0.1,0.2,0.5,0.744
20,1,0.1,0.2,0.8,0.772
21,2,0.1,0.2,0.8,0.79
22,3,0.1,0.2,0.8,0.764
23,4,0.1,0.2,0.8,0.808
24,5,0.1,0.2,0.8,0.756
25,6,0.1,0.2,0.8,0.782
26,7,0.1,0.2,0.8,0.788
27,8,0.1,0.2,0.8,0.788
28,9,0.1,0.2,0.8,0.824
29,10,0.1,0.2,0.8,0.758
30,1,0.1,0.5,0.2,0.79
31,2,0.1,0.5,0.2,0.818
32,3,0.1,0.5,0.2,0.824
33,4,0.1,0.5,0.2,0.802
34,5,0.1,0.5,0.2,0.776
35,6,0.1,0.5,0.2,0.768
36,7,0.1,0.5,0.2,0.79
37,8,0.1,0.5,0.2,0.754
38,9,0.1,0.5,0.2,0.834
39,10,0.1,0.5,0.2,0.8
40,1,0.1,0.5,0.5,0.758
41,2,0.1,0.5,0.5,0.796
42,3,0.1,0.5,0.5,0.796
43,4,0.1,0.5,0.5,0.82
44,5,0.1,0.5,0.5,0.778
45,6,0.1,0.5,0.5,0.76
46,7,0.1,0.5,0.5,0.79
47,8,0.1,0.5,0.5,0.796
48,9,0.1,0.5,0.5,0.846
