,split,sup_loss_weight,alpha,u,accuracy
0,1,0.1,0.2,0.2,0.774
1,2,0.1,0.2,0.2,0.752
2,3,0.1,0.2,0.2,0.758
3,4,0.1,0.2,0.2,0.388
4,5,0.1,0.2,0.2,0.712
5,6,0.1,0.2,0.2,0.738
6,7,0.1,0.2,0.2,0.446
7,8,0.1,0.2,0.2,0.43
8,9,0.1,0.2,0.2,0.808
9,10,0.1,0.2,0.2,0.708
10,1,0.1,0.2,0.5,0.418
11,2,0.1,0.2,0.5,0.742
12,3,0.1,0.2,0.5,0.804
13,4,0.1,0.2,0.5,0.788
14,5,0.1,0.2,0.5,0.752
15,6,0.1,0.2,0.5,0.748
16,7,0.1,0.2,0.5,0.45
17,8,0.1,0.2,0.5,0.748
18,9,0.1,0.2,0.5,0.712
19,10,0.1,0.2,0.5,0.776
20,1,0.1,0.2,0.8,0.37
21,2,0.1,0.2,0.8,0.398
22,3,0.1,0.2,0.8,0.76
23,4,0.1,0.2,0.8,0.456
24,5,0.1,0.2,0.8,0.74
25,6,0.1,0.2,0.8,0.536
26,7,0.1,0.2,0.8,0.392
27,8,0.1,0.2,0.8,0.74
28,9,0.1,0.2,0.8,0.778
29,10,0.1,0.2,0.8,0.806
30,1,0.1,0.5,0.2,0.372
31,2,0.1,0.5,0.2,0.738
32,3,0.1,0.5,0.2,0.796
33,4,0.1,0.5,0.2,0.392
34,5,0.1,0.5,0.2,0.712
35,6,0.1,0.5,0.2,0.768
36,7,0.1,0.5,0.2,0.8
37,8,0.1,0.5,0.2,0.438
38,9,0.1,0.5,0.2,0.402
39,10,0.1,0.5,0.2,0.794
40,1,0.1,0.5,0.5,0.408
41,2,0.1,0.5,0.5,0.754
42,3,0.1,0.5,0.5,0.794
43,4,0.1,0.5,0.5,0.43
44,5,0.1,0.5,0.5,0.734
45,6,0.1,0.5,0.5,0.44
46,7,0.1,0.5,0.5,0.428
47,8,0.1,0.5,0.5,0.43
48,9,0.1,0.5,0.5,0.78
49,10,0.1,0.5,0.5,0.768
50,1,0.1,0.5,0.8,0.37
