,model,dataset,noise_type,noise_ratio,accuracy,std
0,dgnn,roman-empire,uniform,0.0,0.803639251676668,0.006310771586997254
1,dgnn,roman-empire,uniform,0.2,0.7517931521355454,0.006543618061010498
2,dgnn,roman-empire,uniform,0.4,0.6564278150370632,0.006628400396657112
3,dgnn,roman-empire,uniform,0.6,0.5036604306388986,0.00793409766786857
4,dgnn,roman-empire,uniform,0.8,0.332622661489587,0.011820460954588908
5,dgnn,amazon-ratings,uniform,0.0,0.5014796668299853,0.0053950583387822005
6,dgnn,amazon-ratings,uniform,0.2,0.45330393597909524,0.010018345032604962
7,dgnn,amazon-ratings,uniform,0.4,0.40179977135391154,0.0073543654746422394
8,dgnn,amazon-ratings,uniform,0.6,0.3831063204311612,0.007503746844710303
9,dgnn,amazon-ratings,uniform,0.8,0.3632141107300343,0.011205352516227318
10,dgnn,cora,uniform,0.0,0.8098600000000001,0.014088141662101658
11,dgnn,cora,uniform,0.2,0.75792,0.030888773857373587
12,dgnn,cora,uniform,0.4,0.6595600000000001,0.04948329760788552
13,dgnn,cora,uniform,0.6,0.53346,0.050957665994411615
14,dgnn,cora,uniform,0.8,0.28523999999999994,0.04273731570638828
15,dgnn,citeseer,structure-based pair,0.2,0.58696,0.02600228456628726
16,dgnn,citeseer,structure-based pair,0.4,0.46032,0.034421424412161825
17,dgnn,citeseer,structure-based pair,0.6,0.34064000000000005,0.04579753925465485
18,dgnn,citeseer,structure-based pair,0.8,0.22433999999999998,0.03149185991794536
19,dgnn,amazon-ratings,feature-based pair,0.2,0.4153617507757635,0.019117097669447865
20,dgnn,amazon-ratings,feature-based pair,0.4,0.3395721051772007,0.04710701378980649
21,dgnn,amazon-ratings,feature-based pair,0.6,0.0615319287930753,0.028616434624275232
22,dgnn,amazon-ratings,feature-based pair,0.8,0.04332843377429364,7.484200057089301e-05
23,dgnn,pubmed,uniform,0.0,0.7827000000000001,0.013397981021667556
24,dgnn,pubmed,uniform,0.2,0.7374,0.025358344321300068
25,dgnn,pubmed,uniform,0.4,0.61324,0.05068413847408889
26,dgnn,pubmed,uniform,0.6,0.46752000000000005,0.05516350720958938
27,dgnn,pubmed,uniform,0.8,0.31544,0.08824354509398077
28,dgnn,pubmed,feature-based pair,0.2,0.7146800000000001,0.030518241271707054
29,dgnn,pubmed,feature-based pair,0.4,0.51678,0.07508152654954443
30,dgnn,pubmed,feature-based pair,0.6,0.38992000000000004,0.01784211805900809
31,dgnn,pubmed,feature-based pair,0.8,0.38668,0.013896545223318665
32,dgnn,citeseer,feature-based pair,0.2,0.5762599999999999,0.04121009308677546
33,dgnn,citeseer,feature-based pair,0.4,0.41538,0.04466361438600069
34,dgnn,citeseer,feature-based pair,0.6,0.29735999999999996,0.04149462489685239
35,dgnn,citeseer,feature-based pair,0.8,0.17604000000000003,0.03250266712291795
36,dgnn,cora,feature-based pair,0.2,0.71738,0.03461240694047731
37,dgnn,cora,feature-based pair,0.4,0.5092800000000001,0.05086012089897977
38,dgnn,cora,feature-based pair,0.6,0.35834,0.03741451032852082
39,dgnn,cora,feature-based pair,0.8,0.13776,0.047013797199392894
40,dgnn,roman-empire,structure-based pair,0.2,0.7053653370984821,0.011680378063037716
41,dgnn,roman-empire,structure-based pair,0.4,0.473759265795976,0.017982149878098368
42,dgnn,roman-empire,structure-based pair,0.6,0.1875891281327215,0.00563065246696846
43,dgnn,roman-empire,structure-based pair,0.8,0.17635721849629368,0.004765479450556685
44,dgnn,citeseer,uniform,0.0,0.66776,0.018876388988408925
45,dgnn,citeseer,uniform,0.2,0.59514,0.02181197140301657
46,dgnn,citeseer,uniform,0.4,0.5138400000000001,0.029831076645312732
47,dgnn,citeseer,uniform,0.6,0.37086,0.050069743652795894
48,dgnn,citeseer,uniform,0.8,0.20656,0.02439364094922437
49,dgnn,cora,structure-based pair,0.2,0.7490399999999999,0.024776476270736245
50,dgnn,cora,structure-based pair,0.4,0.56566,0.06225376363456945
51,dgnn,cora,structure-based pair,0.6,0.35792000000000007,0.03774445298772865
52,dgnn,cora,structure-based pair,0.8,0.29925999999999997,0.019225437854707667
53,dgnn,roman-empire,feature-based pair,0.2,0.6994246381927287,0.018693774096860263
54,dgnn,roman-empire,feature-based pair,0.4,0.40258383339216375,0.08519849450469123
55,dgnn,roman-empire,feature-based pair,0.6,0.09677726791387223,0.0005546599753030528
56,dgnn,roman-empire,feature-based pair,0.8,0.0967666784327568,0.00023056193361075606
57,dgnn,pubmed,structure-based pair,0.2,0.6959599999999999,0.039559364823388204
58,dgnn,pubmed,structure-based pair,0.4,0.52268,0.10329703826652711
59,dgnn,pubmed,structure-based pair,0.6,0.38942,0.01964777331269493
60,dgnn,pubmed,structure-based pair,0.8,0.38664000000000004,0.01382536134452686
61,dgnn,amazon-ratings,structure-based pair,0.2,0.450645108606892,0.0092009102033941
62,dgnn,amazon-ratings,structure-based pair,0.4,0.3891066470684305,0.008058003364635746
63,dgnn,amazon-ratings,structure-based pair,0.6,0.3684925690021231,0.001549013156702832
64,dgnn,amazon-ratings,structure-based pair,0.8,0.3679405520169852,0.00015682272584319508
