,Unnamed: 0,model,dataset,noise_type,noise_ratio,accuracy,std
0,0,lpm,roman-empire,structure-based pair,0.2,0.0568478658050298,0.0393010966666492
1,1,lpm,roman-empire,structure-based pair,0.4,0.0468796342611312,0.0104608548036626
2,2,lpm,roman-empire,structure-based pair,0.6,0.0515743042528629,0.0185718598198999
3,3,lpm,roman-empire,structure-based pair,0.8,0.0488175094872713,0.0214966470748186
4,4,lpm,roman-empire,feature-based pair,0.2,0.0528309224545955,0.0335368859767913
5,5,lpm,roman-empire,feature-based pair,0.4,0.0499435241520404,0.0203121619967119
6,6,lpm,roman-empire,feature-based pair,0.6,0.0671479006856679,0.031646159231353
7,7,lpm,roman-empire,feature-based pair,0.8,0.066893752887845,0.0284222885882469
8,0,lpm,amazon-ratings,uniform,0.0,0.2883521127700805,0.0316114753220277
9,1,lpm,amazon-ratings,uniform,0.2,0.2966356369853019,0.0362893622075861
10,2,lpm,amazon-ratings,uniform,0.4,0.2819369593262672,0.0276769604588815
11,3,lpm,amazon-ratings,uniform,0.6,0.2809047845005989,0.0228857672361244
12,4,lpm,amazon-ratings,uniform,0.8,0.2711513975262641,0.0149385400670467
13,0,lpm,amazon-ratings,structure-based pair,0.2,0.2914910995960236,0.0335059495664554
14,1,lpm,amazon-ratings,structure-based pair,0.4,0.2884533727169037,0.0305363870345785
15,2,lpm,amazon-ratings,structure-based pair,0.6,0.2856148940324783,0.0283032444729862
16,3,lpm,amazon-ratings,structure-based pair,0.8,0.2992911970615386,0.0379369847872478
17,4,lpm,amazon-ratings,feature-based pair,0.2,0.2792911979556084,0.0289711919084203
18,5,lpm,amazon-ratings,feature-based pair,0.4,0.2493973545730114,0.0354255885601638
19,6,lpm,amazon-ratings,feature-based pair,0.6,0.2377984657883644,0.0421674698190493
20,7,lpm,amazon-ratings,feature-based pair,0.8,0.2162632693350315,0.0600271745141722
21,0,lpm,roman-empire,uniform,0.0,0.0569890584796667,0.040547498169309
22,1,lpm,roman-empire,uniform,0.2,0.0499717626720666,0.0191106139300628
23,2,lpm,roman-empire,uniform,0.4,0.0532439123094081,0.0288275683229736
24,3,lpm,roman-empire,uniform,0.6,0.065700671672821,0.0473179633875661
25,4,lpm,roman-empire,uniform,0.8,0.0941793166100978,0.0626235170943884
27,1,lpm,pubmed,feature-based pair,0.2,0.7318199944496155,0.0224362857795403
28,2,lpm,pubmed,feature-based pair,0.4,0.707619993686676,0.0398463016945198
29,3,lpm,pubmed,feature-based pair,0.6,0.6865799975395201,0.0356471558833917
30,4,lpm,pubmed,feature-based pair,0.8,0.6575600039958953,0.0455222352087643
32,6,lpm,citeseer,feature-based pair,0.2,0.6076199972629548,0.0269852787381917
33,7,lpm,citeseer,feature-based pair,0.4,0.5761999976634979,0.0513042742381656
34,8,lpm,citeseer,feature-based pair,0.6,0.553119998574257,0.0492146550845606
35,9,lpm,citeseer,feature-based pair,0.8,0.4826800018548965,0.0602338782029861
37,11,lpm,cora,feature-based pair,0.2,0.7494599950313569,0.028301053677868
38,12,lpm,cora,feature-based pair,0.4,0.7384600031375884,0.0200767949562639
39,13,lpm,cora,feature-based pair,0.6,0.6915199971199035,0.055061934948203
40,14,lpm,cora,feature-based pair,0.8,0.6405400002002717,0.0417115428307262
42,16,lpm,citeseer,structure-based pair,0.2,0.6038199937343597,0.02578480230899
43,17,lpm,citeseer,structure-based pair,0.4,0.6009200006723404,0.041888108780108
44,18,lpm,citeseer,structure-based pair,0.6,0.5673000037670135,0.0475129317452438
45,19,lpm,citeseer,structure-based pair,0.8,0.541300002336502,0.0468234372693744
46,20,lpm,citeseer,uniform,0.0,0.6310800051689148,0.0214917763611215
47,21,lpm,citeseer,uniform,0.2,0.6022599983215332,0.0342940774508723
48,22,lpm,citeseer,uniform,0.4,0.5736399990320206,0.0429566227754508
49,23,lpm,citeseer,uniform,0.6,0.5516400068998337,0.0444029848392261
50,24,lpm,citeseer,uniform,0.8,0.503459998369217,0.0457626518583228
52,26,lpm,cora,structure-based pair,0.2,0.7738399982452393,0.0237752911025762
53,27,lpm,cora,structure-based pair,0.4,0.739720003604889,0.0259736869912039
54,28,lpm,cora,structure-based pair,0.6,0.6974199998378753,0.0298923074941269
55,29,lpm,cora,structure-based pair,0.8,0.67135999917984,0.0396503466256369
56,30,lpm,cora,uniform,0.0,0.7804200041294098,0.0192248483398137
57,31,lpm,cora,uniform,0.2,0.7540400004386901,0.0249555811770021
58,32,lpm,cora,uniform,0.4,0.7319599962234498,0.0368495038882618
59,33,lpm,cora,uniform,0.6,0.6675199973583222,0.0553902906056113
60,34,lpm,cora,uniform,0.8,0.5994600021839143,0.046323852879388
61,35,lpm,pubmed,uniform,0.0,0.7457799971103668,0.0202758523789112
62,36,lpm,pubmed,uniform,0.2,0.7196399986743927,0.02796699884908
63,37,lpm,pubmed,uniform,0.4,0.721619998216629,0.0310706623601576
64,38,lpm,pubmed,uniform,0.6,0.6845799958705902,0.025298732972289
65,39,lpm,pubmed,uniform,0.8,0.6450999999046326,0.0526277317854905
67,41,lpm,pubmed,structure-based pair,0.2,0.7212999975681307,0.0299845562715277
68,42,lpm,pubmed,structure-based pair,0.4,0.7223000001907349,0.0224691511663068
69,43,lpm,pubmed,structure-based pair,0.6,0.6842800033092498,0.0371962822663967
70,44,lpm,pubmed,structure-based pair,0.8,0.6715799963474274,0.0424973564293853
