,model,dataset,noise_type,noise_ratio,accuracy,std
0,lpm,pubmed,feature-based pair,0.0,0.7458199989795685,0.020300018441836504
1,lpm,pubmed,feature-based pair,0.2,0.7318199944496155,0.022436285779540367
2,lpm,pubmed,feature-based pair,0.4,0.707619993686676,0.03984630169451988
3,lpm,pubmed,feature-based pair,0.6,0.6865799975395201,0.03564715588339175
4,lpm,pubmed,feature-based pair,0.8,0.6575600039958953,0.0455222352087643
5,lpm,citeseer,feature-based pair,0.0,0.6311600053310394,0.021405750819484398
6,lpm,citeseer,feature-based pair,0.2,0.6076199972629548,0.02698527873819173
7,lpm,citeseer,feature-based pair,0.4,0.5761999976634979,0.05130427423816564
8,lpm,citeseer,feature-based pair,0.6,0.553119998574257,0.04921465508456065
9,lpm,citeseer,feature-based pair,0.8,0.48268000185489657,0.060233878202986105
10,lpm,cora,feature-based pair,0.0,0.7799800038337708,0.02121744446096744
11,lpm,cora,feature-based pair,0.2,0.7494599950313569,0.028301053677868067
12,lpm,cora,feature-based pair,0.4,0.7384600031375884,0.020076794956263973
13,lpm,cora,feature-based pair,0.6,0.6915199971199035,0.055061934948203085
14,lpm,cora,feature-based pair,0.8,0.6405400002002717,0.0417115428307262
15,lpm,citeseer,structure-based pair,0.0,0.6310800051689148,0.021491776361121505
16,lpm,citeseer,structure-based pair,0.2,0.6038199937343597,0.025784802308990086
17,lpm,citeseer,structure-based pair,0.4,0.6009200006723404,0.041888108780108055
18,lpm,citeseer,structure-based pair,0.6,0.5673000037670135,0.0475129317452438
19,lpm,citeseer,structure-based pair,0.8,0.541300002336502,0.046823437269374456
20,lpm,citeseer,uniform,0.0,0.6310800051689148,0.021491776361121505
21,lpm,citeseer,uniform,0.2,0.6022599983215332,0.03429407745087236
22,lpm,citeseer,uniform,0.4,0.5736399990320206,0.04295662277545089
23,lpm,citeseer,uniform,0.6,0.5516400068998337,0.04440298483922617
24,lpm,citeseer,uniform,0.8,0.503459998369217,0.04576265185832288
25,lpm,cora,structure-based pair,0.0,0.7807600009441374,0.02068144765720773
26,lpm,cora,structure-based pair,0.2,0.7738399982452393,0.02377529110257624
27,lpm,cora,structure-based pair,0.4,0.739720003604889,0.025973686991203976
28,lpm,cora,structure-based pair,0.6,0.6974199998378753,0.02989230749412694
29,lpm,cora,structure-based pair,0.8,0.67135999917984,0.03965034662563695
30,lpm,cora,uniform,0.0,0.7804200041294098,0.019224848339813753
31,lpm,cora,uniform,0.2,0.7540400004386901,0.024955581177002185
32,lpm,cora,uniform,0.4,0.7319599962234498,0.03684950388826185
33,lpm,cora,uniform,0.6,0.6675199973583222,0.05539029060561131
34,lpm,cora,uniform,0.8,0.5994600021839143,0.04632385287938805
35,lpm,pubmed,uniform,0.0,0.7457799971103668,0.020275852378911247
36,lpm,pubmed,uniform,0.2,0.7196399986743927,0.027966998849080042
37,lpm,pubmed,uniform,0.4,0.721619998216629,0.031070662360157663
38,lpm,pubmed,uniform,0.6,0.6845799958705902,0.025298732972289028
39,lpm,pubmed,uniform,0.8,0.6450999999046326,0.05262773178549055
40,lpm,pubmed,structure-based pair,0.0,0.7457599985599519,0.02025706745226365
41,lpm,pubmed,structure-based pair,0.2,0.7212999975681307,0.029984556271527775
42,lpm,pubmed,structure-based pair,0.4,0.7223000001907349,0.022469151166306857
43,lpm,pubmed,structure-based pair,0.6,0.6842800033092498,0.03719628226639675
44,lpm,pubmed,structure-based pair,0.8,0.6715799963474274,0.04249735642938537
