,Unnamed: 0,model,dataset,noise_type,noise_ratio,accuracy,std
0,0,nrgnn,roman-empire,uniform,0.0,0.5231450758912812,0.0658008433555763
1,1,nrgnn,roman-empire,uniform,0.2,0.5340275326509001,0.0658230800398372
2,0,nrgnn,amazon-ratings,structure-based pair,0.2,0.3620676139147477,0.0142442317156786
3,1,nrgnn,amazon-ratings,structure-based pair,0.4,0.3565833741629919,0.0261936383548792
4,2,nrgnn,amazon-ratings,structure-based pair,0.6,0.3531373509717458,0.0295342268338865
5,3,nrgnn,amazon-ratings,structure-based pair,0.8,0.3469900375632859,0.0337440186538184
6,4,nrgnn,amazon-ratings,feature-based pair,0.2,0.3703935979095215,0.0223748799829578
7,5,nrgnn,amazon-ratings,feature-based pair,0.4,0.2207055365017148,0.0988325937249013
8,6,nrgnn,amazon-ratings,feature-based pair,0.6,0.2073036093418259,0.0954967978513838
9,7,nrgnn,amazon-ratings,feature-based pair,0.8,0.2049714192389351,0.0940284826897118
10,0,nrgnn,roman-empire,uniform,0.4,0.5161030709495236,0.0406777792960203
11,1,nrgnn,roman-empire,uniform,0.6,0.541567243205083,0.0148948681928835
12,2,nrgnn,roman-empire,uniform,0.8,0.4729650547123191,0.0200237174935764
13,0,nrgnn,citeseer,structure-based pair,0.2,0.60358,0.0325138461468093
14,1,nrgnn,citeseer,structure-based pair,0.4,0.4563399999999999,0.0376639747420788
15,2,nrgnn,citeseer,structure-based pair,0.6,0.32374,0.054699635406987
16,3,nrgnn,citeseer,structure-based pair,0.8,0.1954,0.033196065117687
17,4,nrgnn,cora,feature-based pair,0.2,0.6906,0.0502815828273745
18,5,nrgnn,cora,feature-based pair,0.4,0.32416,0.1737373580857852
19,6,nrgnn,cora,feature-based pair,0.6,0.121,0.0600150716556414
20,7,nrgnn,cora,feature-based pair,0.8,0.11968,0.0602070525768749
21,8,nrgnn,pubmed,uniform,0.0,0.63332,0.0696621898340163
22,9,nrgnn,pubmed,uniform,0.2,0.5508200000000001,0.1382691978028319
23,10,nrgnn,pubmed,uniform,0.4,0.47476,0.1016973639185745
24,11,nrgnn,pubmed,uniform,0.6,0.4359,0.0738074540607779
25,12,nrgnn,pubmed,uniform,0.8,0.34546,0.0639725088794399
26,13,nrgnn,citeseer,feature-based pair,0.2,0.5727400000000001,0.0374933390847445
27,14,nrgnn,citeseer,feature-based pair,0.4,0.43456,0.0858964553520998
28,15,nrgnn,citeseer,feature-based pair,0.6,0.19636,0.0661767145234622
29,16,nrgnn,citeseer,feature-based pair,0.8,0.1655,0.0231531039738007
30,17,nrgnn,pubmed,structure-based pair,0.2,0.5240199999999999,0.0991980905767004
31,18,nrgnn,pubmed,structure-based pair,0.4,0.42888,0.067768611331054
32,19,nrgnn,pubmed,structure-based pair,0.6,0.3876199999999999,0.0160860282516039
33,20,nrgnn,pubmed,structure-based pair,0.8,0.38488,0.0159102538763417
34,21,nrgnn,pubmed,feature-based pair,0.2,0.5725,0.1268343567910178
35,22,nrgnn,pubmed,feature-based pair,0.4,0.4099,0.0484907895839596
36,23,nrgnn,pubmed,feature-based pair,0.6,0.37866,0.024534995871125
37,24,nrgnn,pubmed,feature-based pair,0.8,0.38738,0.017118106526173
38,25,nrgnn,cora,uniform,0.0,0.7924,0.0176916688901424
39,26,nrgnn,cora,uniform,0.2,0.7513399999999999,0.0379775668448118
40,27,nrgnn,cora,uniform,0.4,0.67694,0.0527058376091267
41,28,nrgnn,cora,uniform,0.6,0.5606199999999999,0.0449846787066776
42,29,nrgnn,cora,uniform,0.8,0.25962,0.0510601167710798
43,30,nrgnn,cora,structure-based pair,0.2,0.74716,0.0275753478989944
44,31,nrgnn,cora,structure-based pair,0.4,0.5432,0.0647589793654222
45,32,nrgnn,cora,structure-based pair,0.6,0.31608,0.0458133520045228
46,33,nrgnn,cora,structure-based pair,0.8,0.24464,0.066184050758013
47,34,nrgnn,citeseer,uniform,0.0,0.6663600000000001,0.0187936082852121
48,35,nrgnn,citeseer,uniform,0.2,0.62452,0.0281062419559874
49,36,nrgnn,citeseer,uniform,0.4,0.5668200000000001,0.0316827556362079
50,37,nrgnn,citeseer,uniform,0.6,0.39682,0.078261709604232
51,38,nrgnn,citeseer,uniform,0.8,0.22532,0.0398353548965894
52,0,nrgnn,roman-empire,feature-based pair,0.2,0.3390998941051888,0.1366723263179038
53,1,nrgnn,roman-empire,feature-based pair,0.4,0.1548040945993646,0.0616687563576422
54,2,nrgnn,roman-empire,feature-based pair,0.6,0.1032192022590893,0.0114724822243797
55,3,nrgnn,roman-empire,feature-based pair,0.8,0.1003318037416166,0.0077072082792177
56,4,nrgnn,roman-empire,structure-based pair,0.2,0.4840663607483234,0.1092007912943682
57,5,nrgnn,roman-empire,structure-based pair,0.4,0.376307800917755,0.1121091439628102
58,6,nrgnn,roman-empire,structure-based pair,0.6,0.1664066360748323,0.0237395018597772
59,7,nrgnn,roman-empire,structure-based pair,0.8,0.1519519943522767,0.0145542700505633
60,0,nrgnn,amazon-ratings,uniform,0.0,0.3673134084599053,0.009641441432585
61,1,nrgnn,amazon-ratings,uniform,0.2,0.3712787849093582,0.0069432653307665
62,2,nrgnn,amazon-ratings,uniform,0.4,0.3695737383635472,0.0047127195018594
63,3,nrgnn,amazon-ratings,uniform,0.6,0.3700669606402089,0.0031220961147234
64,4,nrgnn,amazon-ratings,uniform,0.8,0.2799542707822962,0.0563121379556406
