,model,dataset,noise_type,noise_ratio,accuracy,std
0,nrgnn,citeseer,structure-based pair,0.2,0.60358,0.03251384614680936
1,nrgnn,citeseer,structure-based pair,0.4,0.45633999999999997,0.03766397474207887
2,nrgnn,citeseer,structure-based pair,0.6,0.32374,0.05469963540698704
3,nrgnn,citeseer,structure-based pair,0.8,0.1954,0.03319606511768704
4,nrgnn,cora,feature-based pair,0.2,0.6906,0.050281582827374535
5,nrgnn,cora,feature-based pair,0.4,0.32416,0.17373735808578522
6,nrgnn,cora,feature-based pair,0.6,0.121,0.06001507165564148
7,nrgnn,cora,feature-based pair,0.8,0.11968000000000001,0.060207052576874975
8,nrgnn,pubmed,uniform,0.0,0.63332,0.0696621898340163
9,nrgnn,pubmed,uniform,0.2,0.5508200000000001,0.13826919780283192
10,nrgnn,pubmed,uniform,0.4,0.47476,0.10169736391857451
11,nrgnn,pubmed,uniform,0.6,0.4359,0.0738074540607779
12,nrgnn,pubmed,uniform,0.8,0.34546,0.06397250887943999
13,nrgnn,citeseer,feature-based pair,0.2,0.5727400000000001,0.03749333908474457
14,nrgnn,citeseer,feature-based pair,0.4,0.43456,0.08589645535209986
15,nrgnn,citeseer,feature-based pair,0.6,0.19636,0.0661767145234622
16,nrgnn,citeseer,feature-based pair,0.8,0.1655,0.023153103973800753
17,nrgnn,pubmed,structure-based pair,0.2,0.5240199999999999,0.09919809057670043
18,nrgnn,pubmed,structure-based pair,0.4,0.42888000000000004,0.067768611331054
19,nrgnn,pubmed,structure-based pair,0.6,0.38761999999999996,0.016086028251603927
20,nrgnn,pubmed,structure-based pair,0.8,0.38488,0.015910253876341797
21,nrgnn,pubmed,feature-based pair,0.2,0.5725,0.1268343567910178
22,nrgnn,pubmed,feature-based pair,0.4,0.40990000000000004,0.048490789583959616
23,nrgnn,pubmed,feature-based pair,0.6,0.37866,0.024534995871125058
24,nrgnn,pubmed,feature-based pair,0.8,0.38738,0.01711810652617307
25,nrgnn,cora,uniform,0.0,0.7924,0.017691668890142474
26,nrgnn,cora,uniform,0.2,0.7513399999999999,0.037977566844811815
27,nrgnn,cora,uniform,0.4,0.67694,0.052705837609126796
28,nrgnn,cora,uniform,0.6,0.5606199999999999,0.044984678706677626
29,nrgnn,cora,uniform,0.8,0.25962,0.051060116771079876
30,nrgnn,cora,structure-based pair,0.2,0.74716,0.027575347898994452
31,nrgnn,cora,structure-based pair,0.4,0.5432,0.0647589793654222
32,nrgnn,cora,structure-based pair,0.6,0.31608,0.04581335200452282
33,nrgnn,cora,structure-based pair,0.8,0.24464000000000002,0.06618405075801305
34,nrgnn,citeseer,uniform,0.0,0.6663600000000001,0.01879360828521214
35,nrgnn,citeseer,uniform,0.2,0.62452,0.028106241955987443
36,nrgnn,citeseer,uniform,0.4,0.5668200000000001,0.03168275563620793
37,nrgnn,citeseer,uniform,0.6,0.39682000000000006,0.07826170960423207
38,nrgnn,citeseer,uniform,0.8,0.22532000000000002,0.03983535489658947
