,model,dataset,noise_type,noise_ratio,accuracy,std
0,pown,amazon-ratings,feature-based pair,0.2,0.3953682835211497,0.014807356541269388
1,pown,amazon-ratings,feature-based pair,0.4,0.2868724481463335,0.08562342609358727
2,pown,amazon-ratings,feature-based pair,0.6,0.13691001143230444,0.11180775056073797
3,pown,amazon-ratings,feature-based pair,0.8,0.07886003593009963,0.07368716535602281
4,pown,amazon-ratings,structure-based pair,0.2,0.39420872121509065,0.02446920262155261
5,pown,amazon-ratings,structure-based pair,0.4,0.37079536175077576,0.0077104559594706
6,pown,amazon-ratings,structure-based pair,0.6,0.3665066144047036,0.0046042714549251575
7,pown,amazon-ratings,structure-based pair,0.8,0.3665719418585661,0.0041275617955213555
8,pown,amazon-ratings,uniform,0.0,0.4500277641678916,0.043000220585279435
9,pown,amazon-ratings,uniform,0.2,0.40845990527519194,0.022228426075966593
10,pown,amazon-ratings,uniform,0.4,0.3847493058958027,0.02016824098338648
11,pown,amazon-ratings,uniform,0.6,0.37512657194185856,0.019708430943424858
12,pown,amazon-ratings,uniform,0.8,0.3479666829985301,0.03452230320781906
