,model,dataset,noise_type,noise_ratio,accuracy,std
0,pown,pubmed,feature-based pair,0.2,0.56232,0.1257998568475553
1,pown,pubmed,feature-based pair,0.4,0.47047999999999995,0.0923529547852633
2,pown,pubmed,feature-based pair,0.6,0.4175,0.06525372199341173
3,pown,pubmed,feature-based pair,0.8,0.38180000000000003,0.026097329322320173
4,pown,pubmed,uniform,0.0,0.65648,0.13774375955922796
5,pown,pubmed,uniform,0.2,0.59446,0.12938174960646665
6,pown,pubmed,uniform,0.4,0.47515999999999997,0.07475537742310692
7,pown,pubmed,uniform,0.6,0.41337999999999997,0.04840500902715389
8,pown,pubmed,uniform,0.8,0.39976,0.04116397909914946
9,pown,pubmed,structure-based pair,0.2,0.5452600000000001,0.13810922282351637
10,pown,pubmed,structure-based pair,0.4,0.45342000000000005,0.08894732304474885
11,pown,pubmed,structure-based pair,0.6,0.39252000000000004,0.028699205477969048
12,pown,pubmed,structure-based pair,0.8,0.384,0.021817441459013757
