,model,dataset,noise_type,noise_ratio,accuracy,std
0,sam,pubmed,uniform,0.0,0.77874,0.01644175094870041
1,sam,pubmed,uniform,0.2,0.71082,0.028659498961800443
2,sam,pubmed,uniform,0.4,0.57552,0.08180475883727191
3,sam,pubmed,uniform,0.6,0.41461999999999993,0.08511840693860774
4,sam,pubmed,uniform,0.8,0.29784000000000005,0.09047973170829887
5,sam,amazon-ratings,feature-based pair,0.2,0.39698840437693944,0.013705483703145
6,sam,amazon-ratings,feature-based pair,0.4,0.23869671729544342,0.1179445980308929
7,sam,amazon-ratings,feature-based pair,0.6,0.06773150416462519,0.05001407251409619
8,sam,amazon-ratings,feature-based pair,0.8,0.04332843377429364,7.484200057089301e-05
9,sam,citeseer,uniform,0.0,0.66262,0.020256274341986732
10,sam,citeseer,uniform,0.2,0.59096,0.025565603886766042
11,sam,citeseer,uniform,0.4,0.50624,0.0294741111220503
12,sam,citeseer,uniform,0.6,0.36741999999999997,0.053767916483049016
13,sam,citeseer,uniform,0.8,0.20098000000000002,0.02567130744543658
14,sam,cora,feature-based pair,0.2,0.66056,0.0370075498334011
15,sam,cora,feature-based pair,0.4,0.47456,0.09038024914985418
16,sam,cora,feature-based pair,0.6,0.33000000000000007,0.04875305218432103
17,sam,cora,feature-based pair,0.8,0.10232,0.0486187510425614
18,sam,amazon-ratings,structure-based pair,0.2,0.4172235832108444,0.028838443686737703
19,sam,amazon-ratings,structure-based pair,0.4,0.3744243018128368,0.00640078181758474
20,sam,amazon-ratings,structure-based pair,0.6,0.3401763841254287,0.04266545485119885
21,sam,amazon-ratings,structure-based pair,0.8,0.30328923730197616,0.046785687385713516
22,sam,pubmed,feature-based pair,0.2,0.7086600000000001,0.031523587399465015
23,sam,pubmed,feature-based pair,0.4,0.5514600000000001,0.056256966568385726
24,sam,pubmed,feature-based pair,0.6,0.37618,0.04207052914251779
25,sam,pubmed,feature-based pair,0.8,0.38086000000000003,0.027709769989821897
26,sam,amazon-ratings,uniform,0.0,0.4733855952964233,0.03372246615460625
27,sam,amazon-ratings,uniform,0.2,0.41375142903805323,0.014049623117822745
28,sam,amazon-ratings,uniform,0.4,0.39505797811530297,0.008288140261769677
29,sam,amazon-ratings,uniform,0.6,0.3735913767760902,0.015105560048747088
30,sam,amazon-ratings,uniform,0.8,0.2539082149273232,0.09993255161191038
31,sam,cora,uniform,0.0,0.8021,0.01536132973542137
32,sam,cora,uniform,0.2,0.7238800000000001,0.04214694508592837
33,sam,cora,uniform,0.4,0.6083000000000001,0.05347243781840805
34,sam,cora,uniform,0.6,0.4955,0.0503241153082154
35,sam,cora,uniform,0.8,0.19539999999999996,0.06448108681334004
36,sam,roman-empire,feature-based pair,0.2,0.6822096717260854,0.016856811300665374
37,sam,roman-empire,feature-based pair,0.4,0.39046240734204024,0.021546763011074267
38,sam,roman-empire,feature-based pair,0.6,0.14310977762089655,0.022728596187985645
39,sam,roman-empire,feature-based pair,0.8,0.0968231556653724,8.646275124543474e-05
40,sam,roman-empire,uniform,0.0,0.7955735968937522,0.009130320030204761
41,sam,roman-empire,uniform,0.2,0.7197635015884222,0.007425298675110279
42,sam,roman-empire,uniform,0.4,0.629992940345923,0.007855134154509062
43,sam,roman-empire,uniform,0.6,0.5024496999647017,0.007300353391557127
44,sam,roman-empire,uniform,0.8,0.33307800917755037,0.011739160575541915
45,sam,citeseer,feature-based pair,0.2,0.5642,0.04311978066680111
46,sam,citeseer,feature-based pair,0.4,0.41941999999999996,0.04967444017811802
47,sam,citeseer,feature-based pair,0.6,0.28522,0.03741061537768532
48,sam,citeseer,feature-based pair,0.8,0.16282000000000002,0.028981053522776003
49,sam,citeseer,structure-based pair,0.2,0.5828,0.027001966865122594
50,sam,citeseer,structure-based pair,0.4,0.45208000000000004,0.0356022330610169
51,sam,citeseer,structure-based pair,0.6,0.3391,0.05146978749662316
52,sam,citeseer,structure-based pair,0.8,0.2085,0.04938623663098129
53,sam,cora,structure-based pair,0.2,0.73206,0.023685500092523855
54,sam,cora,structure-based pair,0.4,0.54314,0.06578569009970112
55,sam,cora,structure-based pair,0.6,0.36918,0.04041254537932484
56,sam,cora,structure-based pair,0.8,0.21334,0.07002219296384037
57,sam,pubmed,structure-based pair,0.2,0.68704,0.0428361736085318
58,sam,pubmed,structure-based pair,0.4,0.5896000000000001,0.07388415842518868
59,sam,pubmed,structure-based pair,0.6,0.38922,0.017406909643657757
60,sam,pubmed,structure-based pair,0.8,0.38310000000000005,0.02041896014631205
61,sam,roman-empire,structure-based pair,0.2,0.6987645605365337,0.012149882278573769
62,sam,roman-empire,structure-based pair,0.4,0.47084715848923403,0.014807188384346293
63,sam,roman-empire,structure-based pair,0.6,0.1732509707024356,0.010265781782323282
64,sam,roman-empire,structure-based pair,0.8,0.17434521708436285,0.004995244377810553
